,CITY,STABBR,Mid-Career Median Salary,Starting Median Salary,LOCALE
93,Fort Worth,TX,78100.0,45100.0,11
94,Fullerton,CA,87000.0,45700.0,21
95,Gainesville,FL,87900.0,47100.0,12
96,Garden City,NY,79200.0,40600.0,21
97,Georgetown,TX,95900.0,52700.0,13
98,Gettysburg,PA,85800.0,44700.0,13
99,Golden,CO,106000.0,58100.0,21
100,Grand Forks,ND,80600.0,44000.0,13
101,Grand Rapids,MI,46600.0,39700.0,21
102,Granville,OH,83500.0,42000.0,23
103,Green Bay,WI,60600.0,35800.0,12
104,Greencastle,IN,86500.0,43900.0,32
105,Greencastle,IN,86500.0,43900.0,32
106,Greensburg,PA,89200.0,48900.0,21
107,Greenville,NC,67500.0,40200.0,13
108,Grinnell,IA,76600.0,42600.0,33
109,Hamden,CT,76500.0,43000.0,21
110,Hamilton,NY,108000.0,52800.0,32
111,Hanover,NH,134000.0,58000.0,33
112,Hayward,CA,84300.0,49200.0,21
113,Hempstead,NY,92700.0,46800.0,21
114,Hoboken,NJ,105000.0,60600.0,21
115,Houston,TX,94950.0,55000.0,11
116,Houston,TX,94950.0,55000.0,11
117,Huntingdon,PA,78900.0,41800.0,32
118,Huntsville,AL,82700.0,43100.0,12
119,Iowa City,IA,83900.0,44700.0,13
120,Irvine,CA,96700.0,48300.0,11
121,Ithaca,NY,98700.0,51500.0,13
122,Ithaca,NY,98700.0,51500.0,23
123,Jacksonville,FL,66200.0,46700.0,11
124,Kalamazoo,MI,72950.0,41300.0,13
125,Kalamazoo,MI,72950.0,41300.0,13
126,Kansas City,MO,65800.0,38900.0,11
127,Kenosha,WI,71400.0,40700.0,22
128,Kingston,RI,85300.0,43900.0,21
129,La Crosse,WI,69300.0,42200.0,13
130,La Jolla,CA,101000.0,51100.0,11
131,Lafayette,LA,76300.0,41100.0,12
132,Lakeland,FL,86400.0,50500.0,12
133,Lancaster,PA,92800.0,49100.0,13
134,Laramie,WY,78700.0,44500.0,33
135,Las Vegas,NV,71600.0,45200.0,12
136,Lawrence,KS,82200.0,43250.0,13
137,Lawrence,KS,82200.0,43250.0,13
138,Lawrenceville,NJ,88900.0,43600.0,21
139,Lewisburg,PA,110000.0,54100.0,32
140,Lewiston,ME,96500.0,47300.0,13
141,Lexington,KY,78300.0,42800.0,11
142,Lexington,VA,104000.0,53600.0,32
143,Lincoln,NE,95800.0,47200.0,11
144,Logan,UT,78700.0,43800.0,13
145,Long Beach,CA,84700.0,45100.0,11
146,Longview,TX,73800.0,49500.0,13
147,Los Angeles,CA,102300.0,53350.0,11
148,Los Angeles,CA,102300.0,53350.0,11
149,Loudonville,NY,85200.0,45500.0,21
150,Lowell,MA,86600.0,45400.0,21
151,Madison,WI,87800.0,48900.0,11
152,Manhattan,KS,79000.0,43300.0,13
153,Mankato,MN,74700.0,43300.0,13
154,Memphis,TN,69700.0,41400.0,11
155,Menomonie,WI,68300.0,43600.0,32
156,Miami,FL,75500.0,43200.0,21
157,Middlebury,VT,94200.0,47700.0,32
158,Middletown,CT,97900.0,46500.0,13
159,Milwaukee,WI,81500.0,45400.0,11
160,Milwaukee,WI,81500.0,45400.0,11
161,Mississippi State,MS,79300.0,44500.0,33
162,Monticello,AR,74500.0,39200.0,33
163,Morehead,KY,60600.0,34800.0,33
164,Morgantown,WV,78100.0,43100.0,13
165,Moscow,ID,82000.0,44900.0,32
166,Muncie,IN,64500.0,39100.0,13
167,Nashville,TN,104000.0,51200.0,11
168,New Haven,CT,126000.0,59100.0,12
169,New York,NY,88766.66666666667,48766.666666666664,11
170,New York,NY,88766.66666666667,48766.666666666664,11
171,New York,NY,88766.66666666667,48766.666666666664,11
172,Newark,DE,84500.0,45900.0,21
173,Niagara University,NY,69700.0,36900.0,21
174,Normal,IL,73400.0,42000.0,22
175,North Dartmouth,MA,77700.0,43200.0,22
176,Northampton,MA,83900.0,44000.0,21
177,Northfield,MN,94600.0,46400.0,32
178,Northfield,MN,94600.0,46400.0,32
179,Northridge,CA,80400.0,45500.0,11
180,Notre Dame,IN,116000.0,56300.0,21
181,Oberlin,OH,81600.0,43400.0,31
182,Oklahoma City,OK,64300.0,40000.0,11
183,Omaha,NE,72600.0,41500.0,11
184,Orangeburg,SC,83300.0,47200.0,32
185,Orlando,FL,71700.0,42600.0,21
186,Orono,ME,72100.0,41200.0,23
187,Oshkosh,WI,66400.0,39300.0,13
188,Parkville,MO,64300.0,44300.0,21
189,Pasadena,CA,123000.0,75500.0,12
190,Peoria,IL,87300.0,47000.0,12
191,Philadelphia,PA,99400.0,52566.666666666664,11
192,Philadelphia,PA,99400.0,52566.666666666664,11
193,Philadelphia,PA,99400.0,52566.666666666664,11
194,Pittsburg,KS,58200.0,40400.0,32
195,Pittsburgh,PA,97700.0,51250.0,11
196,Pittsburgh,PA,97700.0,51250.0,11
197,Platteville,WI,78500.0,45800.0,32
198,Pocatello,ID,73400.0,44900.0,13
199,Portland,ME,63600.0,39400.0,13
200,Portland,OR,74866.66666666667,40666.666666666664,11
201,Portland,OR,74866.66666666667,40666.666666666664,11
202,Portland,OR,74866.66666666667,40666.666666666664,11
203,Poughkeepsie,NY,94600.0,46000.0,21
204,Princeton,NJ,131000.0,66500.0,13
205,Providence,RI,98800.0,52100.0,12
206,Providence,RI,98800.0,52100.0,12
207,Pullman,WA,84700.0,45300.0,32
208,Queens,NY,93400.0,48000.0,11
209,Rapid City,SD,93400.0,55800.0,13
210,Reno,NV,82900.0,46500.0,11
211,Richmond,VA,68400.0,42000.0,12
212,Riverside,CA,81300.0,46800.0,11
213,Roanoke,VA,95400.0,53500.0,13
214,Rochester,NY,84600.0,48900.0,21
215,Sacramento,CA,82400.0,47800.0,11
216,Saint Leo,FL,57800.0,40900.0,23
217,Saint Peter,MN,80600.0,44500.0,31
218,Salt Lake City,UT,83200.0,45400.0,12
219,San Diego,CA,85200.0,46200.0,11
220,San Francisco,CA,86400.0,47300.0,11
221,San Jose,CA,95600.0,53500.0,11
222,Santa Barbara,CA,95000.0,50500.0,22
223,Santa Cruz,CA,84100.0,44700.0,13
224,Santa Paula,CA,67500.0,41500.0,42
225,Saratoga Springs,NY,74600.0,41600.0,23
226,Schenectady,NY,95800.0,47200.0,13
227,Seattle,WA,82800.0,48300.0,11
228,Socorro,NM,93400.0,51000.0,33
229,South Hadley,MA,94200.0,42400.0,21
230,South Orange,NJ,89200.0,48900.0,21
231,Spearfish,SD,43900.0,35300.0,32
232,Spokane,WA,76000.0,44900.0,12
233,Springfield,OH,78200.0,39200.0,13
234,Stanford,CA,129000.0,70400.0,21
235,Stephenville,TX,62400.0,40800.0,33
236,Stevens Point,WI,64000.0,39800.0,32
237,Stony Brook,NY,93000.0,49500.0,21
238,Storrs,CT,88800.0,48000.0,21
239,Swarthmore,PA,104000.0,49700.0,21
240,Syracuse,NY,85900.0,45700.0,12
241,Tacoma,WA,81500.0,46600.0,12
242,Tallahassee,FL,73000.0,42100.0,12
243,Toledo,OH,75900.0,43100.0,11
244,Troy,NY,110000.0,61100.0,13
245,Tucson,AZ,86100.0,47500.0,11
246,Tulsa,OK,88700.0,42400.0,11
247,Turlock,CA,71400.0,38000.0,23
248,University,MS,79700.0,41400.0,33
249,University of Richmond,VA,94600.0,48600.0,12
250,Upland,IN,88600.0,48300.0,32
251,Vermillion,SD,80600.0,44000.0,32
252,Vestal,NY,95900.0,53600.0,22
253,Villanova,PA,101000.0,55800.0,21
254,Waco,TX,88600.0,48300.0,12
255,Walla Walla,WA,80100.0,43500.0,13
256,Washington,DC,96566.66666666667,49633.333333333336,11
257,Washington,DC,96566.66666666667,49633.333333333336,11
258,Washington,DC,96566.66666666667,49633.333333333336,11
259,Waterville,ME,85800.0,46400.0,33
260,Wellesley,MA,83500.0,42800.0,21
261,West Haven,CT,82900.0,44400.0,21
262,Whitewater,WI,75500.0,40800.0,32
263,Williamstown,MA,102000.0,51700.0,31
264,Wilmington,NC,64400.0,37500.0,12
265,Worcester,MA,110000.0,55600.0,12
266,Worcester,MA,110000.0,55600.0,12
267,Ypsilanti,MI,72100.0,40300.0,21
